Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
4/25/2023,Career Track Certificate,Visual,0,0,1
4/26/2023,Level,Visual,1,3,80
4/26/2023,Streak,Visual,1,3,18
4/26/2023,Collection,Visual,0,1,28
4/26/2023,Course Certificate,Visual,0,10,38
4/27/2023,Level,Visual,0,3,103
4/27/2023,Streak,Visual,0,2,19
4/27/2023,Collection,Visual,1,1,25
4/27/2023,Course Certificate,Visual,0,5,44
4/28/2023,Level,Visual,0,0,125
4/28/2023,Streak,Visual,0,3,20
4/28/2023,Collection,Visual,0,0,42
4/28/2023,Course Certificate,Visual,0,5,30
4/28/2023,Career Track Certificate,Visual,0,1,1
4/29/2023,Level,Visual,0,3,105
4/29/2023,Goal,Visual,0,4,8
4/29/2023,Streak,Visual,0,5,16
4/29/2023,Collection,Visual,0,0,32
4/29/2023,Course Certificate,Visual,0,3,29
4/29/2023,Career Track Certificate,Visual,1,1,1
4/30/2023,Text Post,Text Post,0,1,1
4/30/2023,Level,Visual,0,1,85
4/30/2023,Goal,Visual,1,35,60
4/30/2023,Streak,Visual,0,8,20
4/30/2023,Collection,Visual,0,0,25
4/30/2023,Course Certificate,Visual,0,14,35
5/1/2023,Level,Visual,2,2,102
5/1/2023,Goal,Visual,0,4,7
5/1/2023,Streak,Visual,0,5,15
5/1/2023,Collection,Visual,0,1,39
5/1/2023,Course Certificate,Visual,0,10,32
5/2/2023,Level,Visual,0,6,107
5/2/2023,Streak,Visual,1,3,13
5/2/2023,Collection,Visual,0,1,41
5/2/2023,Course Certificate,Visual,0,5,39
5/3/2023,Level,Visual,0,1,103
5/3/2023,Streak,Visual,0,3,13
5/3/2023,Collection,Visual,0,1,36
5/3/2023,Course Certificate,Visual,0,12,37
5/4/2023,Text Post,Text Post,1,1,1
5/4/2023,Level,Visual,0,4,104
5/4/2023,Streak,Visual,0,2,14
5/4/2023,Collection,Visual,0,3,33
5/4/2023,Course Certificate,Visual,0,11,27
5/4/2023,Career Track Certificate,Visual,0,1,1
5/5/2023,Text Post,Text Post,3,3,3
5/5/2023,Level,Visual,0,2,75
5/5/2023,Streak,Visual,0,2,16
5/5/2023,Collection,Visual,0,0,29
5/5/2023,Course Certificate,Visual,0,8,38
5/5/2023,Career Track Certificate,Visual,0,0,2
5/6/2023,Text Post,Text Post,0,1,1
5/6/2023,Level,Visual,2,2,79
5/6/2023,Goal,Visual,0,2,4
5/6/2023,Streak,Visual,0,7,27
5/6/2023,Collection,Visual,0,1,25
5/6/2023,Course Certificate,Visual,0,6,27
5/7/2023,Text Post,Text Post,2,3,3
5/7/2023,Level,Visual,1,2,74
5/7/2023,Goal,Visual,0,37,58
5/7/2023,Streak,Visual,0,4,15
5/7/2023,Collection,Visual,0,0,20
5/7/2023,Course Certificate,Visual,0,12,38
5/7/2023,Career Track Certificate,Visual,0,1,1
5/8/2023,Text Post,Text Post,1,2,2
5/8/2023,Level,Visual,0,5,89
5/8/2023,Goal,Visual,0,1,3
5/8/2023,Streak,Visual,0,5,13
5/8/2023,Collection,Visual,0,2,28
5/8/2023,Course Certificate,Visual,0,8,28
5/9/2023,Text Post,Text Post,1,4,4
5/9/2023,Level,Visual,0,0,88
5/9/2023,Streak,Visual,0,0,7
5/9/2023,Collection,Visual,0,0,24
5/9/2023,Course Certificate,Visual,0,5,38
5/9/2023,Career Track Certificate,Visual,0,0,1
5/10/2023,Level,Visual,0,2,77
5/10/2023,Streak,Visual,0,4,8
5/10/2023,Collection,Visual,0,1,22
5/10/2023,Course Certificate,Visual,0,16,39
5/10/2023,Career Track Certificate,Visual,1,1,1
5/11/2023,Level,Visual,0,1,112
5/11/2023,Streak,Visual,0,3,21
5/11/2023,Collection,Visual,0,0,29
5/11/2023,Course Certificate,Visual,0,17,49
5/12/2023,Level,Visual,0,2,203
5/12/2023,Streak,Visual,0,3,17
5/12/2023,Collection,Visual,0,0,115
5/12/2023,Course Certificate,Visual,0,10,66
5/12/2023,Career Track Certificate,Visual,0,0,3
5/13/2023,Text Post,Text Post,0,1,1
5/13/2023,Level,Visual,0,2,311
5/13/2023,Goal,Visual,0,1,2
5/13/2023,Streak,Visual,0,2,23
5/13/2023,Collection,Visual,0,1,154
5/13/2023,Course Certificate,Visual,0,3,214
5/13/2023,Career Track Certificate,Visual,1,1,10
5/14/2023,Level,Visual,2,8,603
5/14/2023,Goal,Visual,0,34,59
5/14/2023,Streak,Visual,0,4,18
5/14/2023,Collection,Visual,0,2,342
5/14/2023,Course Certificate,Visual,0,25,755
5/14/2023,Career Track Certificate,Visual,0,10,27
5/15/2023,Text Post,Text Post,1,1,1
5/15/2023,Level,Visual,0,5,279
5/15/2023,Goal,Visual,0,1,3
5/15/2023,Streak,Visual,0,3,15
5/15/2023,Collection,Visual,0,0,101
5/15/2023,Course Certificate,Visual,0,91,288
5/15/2023,Career Track Certificate,Visual,0,0,5
5/16/2023,Text Post,Text Post,0,1,1
5/16/2023,Level,Visual,1,3,124
5/16/2023,Streak,Visual,0,7,19
5/16/2023,Collection,Visual,0,0,36
5/16/2023,Course Certificate,Visual,0,7,44
5/16/2023,Career Track Certificate,Visual,0,0,3
5/17/2023,Text Post,Text Post,0,1,1
5/17/2023,Level,Visual,1,3,111
5/17/2023,Streak,Visual,0,3,15
5/17/2023,Collection,Visual,0,2,43
5/17/2023,Course Certificate,Visual,0,4,24
5/18/2023,Text Post,Text Post,1,0,1
5/18/2023,Level,Visual,0,3,113
5/18/2023,Streak,Visual,0,5,16
5/18/2023,Collection,Visual,0,1,49
5/18/2023,Course Certificate,Visual,0,7,35
5/18/2023,Career Track Certificate,Visual,0,1,1
5/19/2023,Text Post,Text Post,1,1,1
5/19/2023,Level,Visual,0,2,106
5/19/2023,Streak,Visual,0,1,17
5/19/2023,Collection,Visual,0,1,36
5/19/2023,Course Certificate,Visual,0,4,47
5/19/2023,Career Track Certificate,Visual,0,1,1
5/20/2023,Text Post,Text Post,2,2,2
5/20/2023,Level,Visual,0,3,85
5/20/2023,Goal,Visual,0,1,5
5/20/2023,Streak,Visual,0,2,22
5/20/2023,Collection,Visual,0,1,43
5/20/2023,Course Certificate,Visual,0,6,26
5/21/2023,Level,Visual,0,2,78
5/21/2023,Goal,Visual,0,34,58
5/21/2023,Streak,Visual,0,3,15
5/21/2023,Collection,Visual,0,2,28
5/21/2023,Course Certificate,Visual,0,9,31
5/22/2023,Text Post,Text Post,1,1,1
5/22/2023,Level,Visual,0,3,111
5/22/2023,Goal,Visual,0,1,4
5/22/2023,Streak,Visual,0,2,14
5/22/2023,Collection,Visual,0,2,35
5/22/2023,Course Certificate,Visual,0,5,36
5/23/2023,Text Post,Text Post,1,1,1
5/23/2023,Level,Visual,0,1,61
5/23/2023,Streak,Visual,0,8,18
5/23/2023,Collection,Visual,0,1,34
5/23/2023,Course Certificate,Visual,0,6,34
5/24/2023,Level,Visual,1,5,62
5/24/2023,Streak,Visual,0,4,17
5/24/2023,Collection,Visual,0,0,26
5/24/2023,Course Certificate,Visual,0,4,35
5/25/2023,Text Post,Text Post,1,2,2
5/25/2023,Level,Visual,0,0,88
5/25/2023,Streak,Visual,0,0,12
5/25/2023,Collection,Visual,0,2,24
5/25/2023,Course Certificate,Visual,0,6,34
5/26/2023,Text Post,Text Post,2,2,2
5/26/2023,Level,Visual,0,2,76
5/26/2023,Streak,Visual,1,5,15
5/26/2023,Collection,Visual,0,0,30
5/26/2023,Course Certificate,Visual,0,5,28
5/26/2023,Career Track Certificate,Visual,0,0,1
5/27/2023,Level,Visual,0,3,79
5/27/2023,Goal,Visual,0,1,4
5/27/2023,Streak,Visual,0,8,30
5/27/2023,Collection,Visual,0,1,31
5/27/2023,Course Certificate,Visual,0,10,34
5/27/2023,Career Track Certificate,Visual,0,0,1
5/28/2023,Level,Visual,1,5,87
5/28/2023,Goal,Visual,0,35,61
5/28/2023,Streak,Visual,0,1,8
5/28/2023,Collection,Visual,0,0,27
5/28/2023,Course Certificate,Visual,0,14,45
5/29/2023,Text Post,Text Post,2,2,2
5/29/2023,Level,Visual,0,3,73
5/29/2023,Goal,Visual,0,1,3
5/29/2023,Streak,Visual,0,5,18
5/29/2023,Collection,Visual,0,3,35
5/29/2023,Course Certificate,Visual,0,7,22
5/30/2023,Text Post,Text Post,2,2,2
5/30/2023,Level,Visual,1,6,88
5/30/2023,Streak,Visual,0,5,16
5/30/2023,Collection,Visual,0,2,37
5/30/2023,Course Certificate,Visual,0,11,42
5/31/2023,Text Post,Text Post,1,1,1
5/31/2023,Level,Visual,0,5,82
5/31/2023,Streak,Visual,0,4,15
5/31/2023,Collection,Visual,0,0,22
5/31/2023,Course Certificate,Visual,0,11,40
