Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
1/23/2023,Career Track Certificate,Visual,1,1,1
1/24/2023,Text Post,Text Post,0,1,1
1/24/2023,Level,Visual,0,1,124
1/24/2023,Streak,Visual,1,3,23
1/24/2023,Collection,Visual,0,1,52
1/24/2023,Course Certificate,Visual,0,8,70
1/24/2023,Career Track Certificate,Visual,0,0,1
1/25/2023,Text Post,Text Post,2,3,3
1/25/2023,Level,Visual,0,2,120
1/25/2023,Streak,Visual,0,3,26
1/25/2023,Collection,Visual,0,1,65
1/25/2023,Course Certificate,Visual,0,13,69
1/25/2023,Career Track Certificate,Visual,0,1,1
1/26/2023,Text Post,Text Post,1,1,1
1/26/2023,Level,Visual,0,4,119
1/26/2023,Streak,Visual,0,3,26
1/26/2023,Collection,Visual,0,2,58
1/26/2023,Course Certificate,Visual,0,9,47
1/27/2023,Level,Visual,0,5,109
1/27/2023,Streak,Visual,0,1,17
1/27/2023,Collection,Visual,0,1,50
1/27/2023,Course Certificate,Visual,0,7,50
1/27/2023,Career Track Certificate,Visual,1,1,3
1/28/2023,Level,Visual,0,3,113
1/28/2023,Goal,Visual,0,5,8
1/28/2023,Streak,Visual,0,6,35
1/28/2023,Collection,Visual,0,0,69
1/28/2023,Course Certificate,Visual,0,20,52
1/29/2023,Level,Visual,0,4,111
1/29/2023,Goal,Visual,0,28,71
1/29/2023,Streak,Visual,0,5,22
1/29/2023,Collection,Visual,0,5,53
1/29/2023,Course Certificate,Visual,0,16,66
1/29/2023,Career Track Certificate,Visual,0,1,4
1/30/2023,Text Post,Text Post,0,2,2
1/30/2023,Level,Visual,0,0,128
1/30/2023,Goal,Visual,0,0,2
1/30/2023,Streak,Visual,0,6,23
1/30/2023,Collection,Visual,0,2,74
1/30/2023,Course Certificate,Visual,1,12,59
1/30/2023,Career Track Certificate,Visual,0,0,1
1/31/2023,Text Post,Text Post,1,1,1
1/31/2023,Level,Visual,0,0,145
1/31/2023,Streak,Visual,0,7,36
1/31/2023,Collection,Visual,0,0,75
1/31/2023,Course Certificate,Visual,1,13,67
1/31/2023,Career Track Certificate,Visual,0,1,2
2/1/2023,Level,Visual,0,1,149
2/1/2023,Streak,Visual,0,4,22
2/1/2023,Collection,Visual,0,0,57
2/1/2023,Course Certificate,Visual,0,14,62
2/1/2023,Career Track Certificate,Visual,0,0,1
2/2/2023,Text Post,Text Post,0,1,1
2/2/2023,Level,Visual,0,4,135
2/2/2023,Streak,Visual,0,5,27
2/2/2023,Collection,Visual,0,3,67
2/2/2023,Course Certificate,Visual,0,6,49
2/3/2023,Level,Visual,1,5,119
2/3/2023,Streak,Visual,0,4,35
2/3/2023,Collection,Visual,0,0,43
2/3/2023,Course Certificate,Visual,0,5,35
2/3/2023,Career Track Certificate,Visual,1,1,1
